,artist,artist_pop,artist_id,song,song_pop,song_duration_ms,song_id
156,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,Maniqui,57,177632,1SKZ2kmLyRZUkIw9zq9RLL
157,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,Tan Celoso,56,162847,0kBtkRLoFGQJcnivHh7kwb
158,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,Mujeres,53,147853,6s75l2BGSbPTyU7SEs63in
159,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,Soltero,53,176039,1IOCIQ8mhFV42YdacEog1j
160,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Amigos Muertos,58,217000,41VSKd0QWCCSLo3qiR39sp
161,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Los Patrones,41,289676,3XZAJFdEANpxSH7tH7p2RG
162,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Tamo Loco,29,238080,5N8yKD8bwjxK8NCk54dWiw
163,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Si Te Presto La Glock,27,475593,4oZEZbc72VrUuOv40K1wZp
164,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Kelokeke,27,173640,571U5kPpRNcIHnKdxMDtKj
165,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Glu Glu,25,186000,1ICksYIrVxAHVmjRRfKA2a
166,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Tu ta en Para,25,142914,47N2SQ3U8U64msXbrQLoI3
167,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Tu Parte,23,128260,2bdUYaE0eJBCi0h2ImMZ0I
168,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Yoshi,23,174733,2hp2qSBGwhL2Ci3GLdKfN6
169,La Kikada,49,7Fpb4yEAPfiQfY0Bx0uLm5,Kelokeke Remix,10,259996,6tBuWE1vz2OUUccxEQTjlG
170,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,Por Que Me Ahogo,38,180645,6Mm4e4HsRbYHBxYUz2voRf
171,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,Con Los Brazos Abiertos (feat. Poeta Callejero),36,214543,2bbha2Cvy1YbjJCws5vyex
172,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,Capea el Dough 2k14,35,707594,7kIP60tCZ6XlAtSbJjGlhU
173,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,Esperando Por Ti,35,221773,1C4MgPWoUlLqPmz3cLOjzP
